x,y
-0.002291450046573718,-98.00189713875234
-0.0023007051214103554,-98.00189711630384
-0.0023099601981278963,-98.0018970938582
-0.002319215274771848,-98.00189707141224
-0.002200223915900427,-98.00195765746736
-0.0010673667924576218,-98.00232923354729
0.0012412864261885077,-98.00270868960179
0.004012246987626082,-98.00295357162496
0.0080222641679849,-98.00318526982186
0.013565262277403067,-98.00342630030839
0.018341378443213062,-98.00359508655575
0.023035010414770178,-98.00373447070149
0.030573249665018884,-98.00392024682961
0.04091282018629955,-98.00412329411625
0.05163053844341355,-98.0042877286817
0.06582582870631976,-98.00445856617971
0.07787235489413283,-98.00457623451649
0.09225550445956217,-98.00468895802996
0.1006006896371931,-98.00474356927819
0.11529338164174878,-98.00482721784861
0.13096613581120448,-98.00490131201643
0.14590956637709757,-98.00495690709639
0.15985905687105662,-98.00499989227146
0.1800637718990507,-98.00505316508384
0.19158435687908612,-98.00507868543941
0.21362178542315258,-98.00511523619826
0.23039385216263564,-98.00513470867108
0.25224099157706525,-98.00515250422161
0.28210746407196813,-98.0051632672557
0.3111466064594002,-98.00516290887309
0.3312900841015252,-98.0051594313756
0.3600115291165877,-98.00514828348157
0.3899188468357928,-98.00512809410408
0.4095682149222858,-98.00511217306715
0.4355373323570021,-98.00508861474634
0.46835543119515943,-98.00505336943425
0.4992191298107584,-98.00501617898573
0.534301169031797,-98.00497152931095
0.5672229954317993,-98.00492626662574
0.5976905905813591,-98.00488174947203
0.6219364432201442,-98.00484624583709
0.6610073292144037,-98.00478936436835
0.6864880581613982,-98.00475131779537
0.738890204387687,-98.00467079287574
0.7696967416491939,-98.00462419639139
0.8130798938883506,-98.00456075420965
0.8494572542871693,-98.00450687202728
0.9076221561144817,-98.00441781996162
0.9374249517434803,-98.00437131304996
0.9852281762700965,-98.00429599362505
1.0252219597400667,-98.00423423754158
1.0797818808197739,-98.0041536034805
1.1357530883839582,-98.00407318410252
1.1547237767964513,-98.00404570589859
1.2125766994746603,-98.00396057240607
1.251929363040578,-98.00390211887776
1.3070634388133515,-98.00382068585682
1.3582143891297684,-98.00374612455163
1.4156124038735591,-98.00366362095265
1.46882148046796,-98.00358763607244
1.533966051805267,-98.00349492817678
1.6005219099085972,-98.00340145763387
1.6513649605110574,-98.0033312093479
1.7030018597993952,-98.00326033369414
1.7554326077189513,-98.00318854889824
1.8146200515524527,-98.00310812530938
1.88085820948587,-98.0030199251708
1.9482822403724835,-98.00293265251138
2.0043294105856853,-98.00286123902082
2.0611704294358315,-98.00278917283083
2.1252581743163774,-98.00270935415521
2.1837750965411926,-98.00263883342689
2.2298370919972204,-98.00258474187514
2.3031904870253643,-98.0025001690671
2.377729754828561,-98.0024159878155
2.453454895757585,-98.00233264486177
2.523324996281896,-98.002257753767
2.594175157036941,-98.0021840642469
2.6732423035414135,-98.00210462409107
2.7461505908814186,-98.00203363173904
2.8274816765146453,-98.00195696720505
2.8798552599996086,-98.00190937809808
2.940298820216021,-98.0018562602824
2.9860431156821456,-98.00181710407627
3.055321099425243,-98.00175955540651
3.1175679704703043,-98.00170980089239
3.188345446643881,-98.00165521439605
3.283950290779832,-98.0015849332673
3.3809664218165563,-98.00151739652905
3.471137651506988,-98.00145728517485
3.537461573481002,-98.00141428223272
3.6296811293354874,-98.00135592699897
3.706015547585145,-98.00130874128759
3.7917626252973897,-98.00125739919618
3.8610659311499043,-98.00121797835708
3.9661969623354247,-98.00116185910133
4.072739280199142,-98.00110814380895
4.1355407056669335,-98.00107733749927
4.235198919872966,-98.0010300874638
4.317619513313962,-98.00099334853238
4.410129007900323,-98.0009549919632
4.484842246905468,-98.00092628061968
4.598088177798214,-98.00088669109438
4.664800044170774,-98.00086516949784
4.760935761560097,-98.00083586848903
4.848295858777801,-98.0008106889182
4.966010864408122,-98.0007785018725
5.035329691167409,-98.00076067580338
5.145229535921138,-98.00073449273611
5.266472758860391,-98.00070755619696
5.358331332897508,-98.00068790339074
5.482044307832633,-98.00066303528365
5.57575519621653,-98.0006451745633
5.659720204547171,-98.00062939087918
5.776196254058342,-98.00060804495892
5.883112635396403,-98.00058956377286
6.0018526246007164,-98.00056978658165
